,vectorizer_type,ari,jaccard,dasgupta
6,yonatanlou/BEREL-finetuned-DSS-composition-classification,0.5748815755777341,0.002581385568867108,0.8078515288488008
5,yonatanlou/BEREL-finetuned-DSS-sectarian-classification,0.32461011379199367,0.06233716506272897,0.7182806296411655
0,dicta-il/BEREL,0.26464593470028663,0.00532544508763296,0.6598217477459851
9,trigram,0.21918882572772164,0.005529948123153548,0.6257779242898585
7,yonatanlou/BEREL-finetuned-DSS-maskedLM,0.3103252129647582,0.05036466196831275,0.6215386708908852
4,dicta-il/dictabert,0.3049455780987637,0.05397326648956611,0.6210236001628946
1,onlplab/alephbert-base,0.28886898558604157,0.08088520294452463,0.603220095781334
3,dicta-il/dictabert-large,0.23137652642567183,0.028683535049046145,0.5752959258253544
2,dicta-il/dictabert-tiny,0.23956667194977874,0.045451622764162126,0.5706803845242414
8,tfidf,0.18043107291807406,0.014342102279877884,0.5622449915671855
10,starr,0.11648548911923225,0.026562903947434036,0.4907932740753682
