silhouette,jaccard,dasgupta,epoch,num_adjs,epochs,hidden_dim,latent_dim,distance,learning_rate,threshold,bert_model,adj_type,num_edges
0.28661636,0.16156453979658958,0.8595393718319799,248,1,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf,9391
0.27068603,0.15232138561462594,0.843030607994904,244,1,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,trigram,9391
0.22851557,0.12340425531914893,0.7884426902025969,233,1,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,BOW-n_gram,9391
0.22286312,0.06463124504361618,0.672494554300736,199,1,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,starr,9391
0.30687407,0.1530157472516589,0.8662122311142684,246,1,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf,9391
0.27375716,0.14483452272618422,0.8258993676680944,236,1,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,trigram,9391
0.23565362,0.09824432053822404,0.7642056839697393,240,1,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,BOW-n_gram,9391
0.26804906,0.07225071225071225,0.6801011837474105,238,1,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,starr,9391
0.29159123,0.15449465738653073,0.8545748585348732,242,1,250,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf,9391
0.26496676,0.16651009863785815,0.8238249633803123,248,1,250,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,trigram,9391
0.21106996,0.10446404218565324,0.7731767730131442,232,1,250,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,BOW-n_gram,9391
0.23223275,0.06880645036244525,0.6891149537255523,247,1,250,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,starr,9391
0.2813771,0.1283966082096743,0.8304512616428879,242,1,250,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,tfidf,9391
0.2766978,0.1332443503474939,0.7924607953442527,240,1,250,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,trigram,9391
0.22304337,0.0922242314647378,0.748056326861019,242,1,250,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,BOW-n_gram,9391
0.2495811,0.06764039678200422,0.660641005558388,231,1,250,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,starr,9391
