silhouette,jaccard,dasgupta,clustering_accuracy,epoch,num_adjs,epochs,hidden_dim,latent_dim,distance,learning_rate,threshold,bert_model,adj_type,num_edges
0.2933262,0.16832873966424455,0.8789869120299374,0.4200206398348813,241,1,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf,9391
0.26170203,0.14870219932633247,0.8250004074089226,0.37770897832817335,248,1,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,trigram,9391
0.22347854,0.13145258103241297,0.8090048125248256,0.3570691434468524,243,1,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,BOW-n_gram,9391
0.20209704,0.06812594178761203,0.6816189621304815,0.2590299277605779,218,1,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,starr,9391
0.2793035,0.17017332932571885,0.8575611936516045,0.41279669762641896,224,2,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf & trigram,9391
0.26229027,0.16403491565319733,0.8510847775286763,0.40763673890608876,242,2,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf & BOW-n_gram,9391
0.16006857,0.12617338487023744,0.7853117942056141,0.3446852425180599,226,2,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf & starr,9391
0.25192636,0.1664581978285886,0.8522787351056009,0.40763673890608876,230,2,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,trigram & BOW-n_gram,9391
0.17022088,0.12746398353533045,0.7645540047410204,0.3415892672858617,244,2,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,trigram & starr,9391
0.14434049,0.10725265208919679,0.7475349542998049,0.31991744066047473,199,2,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,BOW-n_gram & starr,9391
0.2877931,0.14455465485121596,0.8536367648472283,0.3797729618163055,190,1,250,300,100,cosine,0.001,0.99,onlplab/alephbert-base,tfidf,9391
0.2701632,0.13962602700916044,0.8186313033504755,0.36119711042311664,249,1,250,300,100,cosine,0.001,0.99,onlplab/alephbert-base,trigram,9391
0.22742216,0.11716797778806108,0.799201611543408,0.33539731682146545,190,1,250,300,100,cosine,0.001,0.99,onlplab/alephbert-base,BOW-n_gram,9391
0.21792862,0.06895422458336366,0.6726110677095891,0.2631578947368421,219,1,250,300,100,cosine,0.001,0.99,onlplab/alephbert-base,starr,9391
0.28361705,0.14713055597033498,0.8370844331988496,0.38596491228070173,144,2,250,300,100,cosine,0.001,0.99,onlplab/alephbert-base,tfidf & trigram,9391
0.2566782,0.13699507389162563,0.823655902534926,0.3622291021671827,133,2,250,300,100,cosine,0.001,0.99,onlplab/alephbert-base,tfidf & BOW-n_gram,9391
0.16376479,0.10126174249401364,0.7395764565755856,0.31475748194014447,118,2,250,300,100,cosine,0.001,0.99,onlplab/alephbert-base,tfidf & starr,9391
0.25876114,0.1350029638411381,0.8081395535751602,0.3684210526315789,141,2,250,300,100,cosine,0.001,0.99,onlplab/alephbert-base,trigram & BOW-n_gram,9391
0.1698958,0.10185269276178367,0.7507063140401097,0.31991744066047473,185,2,250,300,100,cosine,0.001,0.99,onlplab/alephbert-base,trigram & starr,9391
0.15949032,0.08582490858249085,0.7283389544678679,0.28792569659442724,115,2,250,300,100,cosine,0.001,0.99,onlplab/alephbert-base,BOW-n_gram & starr,9391
0.28426915,0.16988533494266747,0.8678831065645384,0.4148606811145511,201,1,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf,9391
0.2630114,0.16389780818092978,0.8342674915062168,0.39215686274509803,246,1,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,trigram,9391
0.22386475,0.13302837076055818,0.7912331364578217,0.3622291021671827,211,1,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,BOW-n_gram,9391
0.20946635,0.07365783558716239,0.7018463994086307,0.26625386996904027,247,1,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,starr,9391
0.2789602,0.175282264189155,0.8674748107654842,0.4262125902992776,214,2,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf & trigram,9391
0.25400138,0.15237621298830556,0.8453890345029351,0.3849329205366357,233,2,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf & BOW-n_gram,9391
0.15949422,0.10562662217278458,0.7832938174393412,0.3302373581011352,161,2,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf & starr,9391
0.24773234,0.15680313802402548,0.8447189992573517,0.39628482972136225,224,2,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,trigram & BOW-n_gram,9391
0.1699134,0.11273142857142857,0.7621054494019736,0.33539731682146545,193,2,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,trigram & starr,9391
0.15561074,0.09230769230769231,0.7579782584427046,0.31991744066047473,210,2,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,BOW-n_gram & starr,9391
0.2954927,0.16382773173336046,0.8464479651226922,0.41279669762641896,206,1,250,300,100,cosine,0.001,0.99,dicta-il/MsBERT,tfidf,9391
0.27266523,0.16634496411779262,0.8200793510635479,0.4117647058823529,202,1,250,300,100,cosine,0.001,0.99,dicta-il/MsBERT,trigram,9391
0.23056623,0.12590308775482031,0.8147778246713762,0.3570691434468524,173,1,250,300,100,cosine,0.001,0.99,dicta-il/MsBERT,BOW-n_gram,9391
0.21719451,0.06959289531593839,0.7004620959487368,0.2714138286893705,189,1,250,300,100,cosine,0.001,0.99,dicta-il/MsBERT,starr,9391
0.30448475,0.16982086833316465,0.8464691393007044,0.4117647058823529,148,2,250,300,100,cosine,0.001,0.99,dicta-il/MsBERT,tfidf & trigram,9391
0.27295816,0.16155266177717906,0.8590014811947247,0.39525283797729616,184,2,250,300,100,cosine,0.001,0.99,dicta-il/MsBERT,tfidf & BOW-n_gram,9391
0.17639746,0.1286008230452675,0.7756374120454024,0.3715170278637771,148,2,250,300,100,cosine,0.001,0.99,dicta-il/MsBERT,tfidf & starr,9391
0.27318412,0.1589779985805536,0.8474605564418778,0.3931888544891641,172,2,250,300,100,cosine,0.001,0.99,dicta-il/MsBERT,trigram & BOW-n_gram,9391
0.1763362,0.11403467334309604,0.7661570341339944,0.3240454076367389,199,2,250,300,100,cosine,0.001,0.99,dicta-il/MsBERT,trigram & starr,9391
0.16328701,0.10561980484279003,0.7454921449896851,0.3219814241486068,223,2,250,300,100,cosine,0.001,0.99,dicta-il/MsBERT,BOW-n_gram & starr,9391
