silhouette,jaccard,dasgupta,clustering_accuracy,epoch,num_adjs,epochs,hidden_dim,latent_dim,distance,learning_rate,threshold,bert_model,adj_type,num_edges
0.2933262,0.16832873966424455,0.8789869120299374,0.4200206398348813,241,1,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf,9391
0.20209704,0.06812594178761203,0.6816189621304815,0.2590299277605779,218,1,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,starr,9391
0.2877931,0.14455465485121596,0.8536367648472283,0.3797729618163055,190,1,250,300,100,cosine,0.001,0.99,onlplab/alephbert-base,tfidf,9391
0.21792862,0.06895422458336366,0.6726110677095891,0.2631578947368421,219,1,250,300,100,cosine,0.001,0.99,onlplab/alephbert-base,starr,9391
0.28426915,0.16988533494266747,0.8678831065645384,0.4148606811145511,201,1,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf,9391
0.20946635,0.07365783558716239,0.7018463994086307,0.26625386996904027,247,1,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,starr,9391
0.29166114,0.16966944234166037,0.8589319722438675,0.40350877192982454,236,1,250,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf,9391
0.2000471,0.06861624561541796,0.6595995907508087,0.2528379772961816,194,1,250,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,starr,9391
0.29347813,0.1530200019706375,0.8348530517588924,0.39525283797729616,104,1,250,300,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,tfidf,9391
0.219694,0.07203893167797065,0.6726316875897478,0.27038183694530443,168,1,250,300,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,starr,9391
0.27386525,0.16080327626190358,0.8596460187390367,0.39215686274509803,180,1,250,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,tfidf,9391
0.20375845,0.06717857694088594,0.6710494997960738,0.24458204334365324,180,1,250,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,starr,9391
