best_loss,epoch,ari,nmi,jaccard,dasgupta,num_adjs,epochs,hidden_dim,latent_dim,distance,learning_rate,threshold,bert_model,adj_type,num_edges
23570.1171875,492,0.25136463844747314,0.7056166560333313,0.0019014496840382015,0.8721233742859673,1,500,300,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf,9391
32710.998046875,487,0.25643018625412095,0.7194740025986721,0.020440962635765465,0.8664928166878242,1,500,500,100,cosine,0.001,0.99,onlplab/alephbert-base,tfidf,9391
16922.513671875,483,0.25224034007321255,0.7020620311020629,0.02777484861718754,0.8647222784834544,1,500,300,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf,9391
33592.28125,498,0.24714543299949812,0.7100548530410858,0.003540275937427389,0.8645531067784974,1,500,300,100,cosine,0.001,0.99,onlplab/alephbert-base,tfidf,9391
16423.9375,497,0.25131192385676837,0.7057100139355513,0.002764581331625209,0.8631556110296847,1,500,500,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf,9391
22626.70703125,498,0.26616251673796787,0.7201733046521217,0.0004643962848297214,0.8595719645457789,1,500,500,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf,9391
28784.560546875,490,0.2496774711207603,0.7090888557197034,0.00881610962594354,0.8588868523985743,1,500,500,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,tfidf,9391
29845.720703125,498,0.237590422380425,0.7031048389615899,0.0035963348656847115,0.8579637247529799,1,500,300,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,tfidf,9391
19920.87890625,476,0.2694169786759461,0.720100524181526,0.0010319917440660474,0.8576216121176605,1,500,500,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf,9391
20974.197265625,492,0.2603128051695416,0.7071265195205407,0.006316045962860367,0.853486439269298,1,500,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf,9391
10289.375,493,0.2225316914992994,0.6740720610905517,0.012775197798417612,0.8529216097563517,1,500,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,tfidf,9391
21846.44921875,492,0.23917052677627285,0.6804225239297033,0.019182605432437175,0.8436058583075003,2,500,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,trigram & BOW-n_gram,9391
24307.541015625,492,0.24453627663680685,0.6861743471047971,0.037006625686124936,0.836213631270647,2,500,300,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf & trigram,9391
17483.966796875,483,0.2313767965590632,0.6775792374027799,0.007659672055956885,0.8352321914908406,2,500,300,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf & trigram,9391
16680.861328125,497,0.2449338936738672,0.6792945177330628,0.0003548424814571927,0.8351117979970114,1,500,500,100,cosine,0.001,0.99,dicta-il/dictabert,trigram,9391
17511.275390625,483,0.21263747321117146,0.6694425552531257,0.006093110278257821,0.8346400905234911,2,500,300,100,cosine,0.001,0.99,dicta-il/dictabert,trigram & BOW-n_gram,9391
20226.4609375,498,0.2423183574769603,0.6913631880178456,0.018854702545838282,0.8338508812393568,2,500,500,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf & trigram,9391
16555.3515625,497,0.2365111794234824,0.6825173555230807,0.0015766098275140866,0.8335885874949739,2,500,500,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf & trigram,9391
21950.62109375,492,0.2389597928390671,0.6749732367568929,0.006188041034120466,0.8329834050982765,1,500,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,trigram,9391
23268.7421875,498,0.2574520075620142,0.6866200663978281,0.0013206607633852218,0.8325049351909406,1,500,500,100,cosine,0.001,0.99,dicta-il/BEREL,trigram,9391
21687.689453125,492,0.2597698820028099,0.691966437358016,0.013632675844253624,0.8322059469286411,2,500,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf & trigram,9391
20498.09765625,498,0.257405570974994,0.6929067068413143,0.004637265211360455,0.8309390437541663,1,500,500,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,trigram,9391
20388.734375,498,0.2529457441179766,0.6892754808913805,0.0182089209952987,0.8306264197646651,2,500,500,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,trigram & BOW-n_gram,9391
10003.1416015625,492,0.23195465830600828,0.680230961012665,0.0010595421354537952,0.8304592435319815,1,500,500,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,tfidf,9391
10146.244140625,488,0.22876833781739805,0.6620146133143978,0.01829355266086664,0.8301547122911447,2,500,500,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,tfidf & trigram,9391
24468.9296875,492,0.24168140075899755,0.6827895879677466,0.00704919892555753,0.8282367308576839,1,500,300,100,cosine,0.001,0.99,dicta-il/BEREL,trigram,9391
17552.607421875,483,0.23025590089687564,0.6734126873289172,0.012474330508386236,0.8273862162309276,1,500,300,100,cosine,0.001,0.99,dicta-il/dictabert,trigram,9391
10439.49609375,495,0.21238288868893807,0.6535323340920546,0.015656791471444935,0.8269224906465009,2,500,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,tfidf & trigram,9391
