silhouette,jaccard,dasgupta,clustering_accuracy,epoch,num_adjs,epochs,hidden_dim,latent_dim,distance,learning_rate,threshold,bert_model,adj_type,num_edges
0.17326608,0.15879995260035829,0.825755773219836,0.353091684434968,242,1,250,500,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf,219962
0.13147499,0.12844675289302157,0.7584764341692665,0.3411513859275053,234,1,250,500,100,cosine,0.001,0.99,dicta-il/BEREL,trigram,219962
0.12956533,0.0991262878891541,0.7168682677794569,0.27100213219616204,201,1,250,500,100,cosine,0.001,0.99,dicta-il/BEREL,BOW-n_gram,219964
0.17214647,0.1415441684988151,0.7760136100059098,0.32430703624733476,210,1,250,500,100,cosine,0.001,0.99,onlplab/alephbert-base,tfidf,219962
0.14037925,0.09655221279748859,0.7235579161752408,0.26311300639658847,243,1,250,500,100,cosine,0.001,0.99,onlplab/alephbert-base,trigram,219962
0.12216636,0.08594257333540277,0.6870764188924576,0.24562899786780384,198,1,250,500,100,cosine,0.001,0.99,onlplab/alephbert-base,BOW-n_gram,219964
0.16906407,0.1529350259386855,0.7976797079464217,0.35842217484008526,186,1,250,500,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf,219962
0.13072419,0.09703369237929448,0.7274753784456784,0.2690831556503198,201,1,250,500,100,cosine,0.001,0.99,dicta-il/dictabert,trigram,219962
0.13351442,0.08732980692551379,0.7014249163638664,0.2420042643923241,214,1,250,500,100,cosine,0.001,0.99,dicta-il/dictabert,BOW-n_gram,219964
0.18343776,0.18829492498492473,0.8378961729873758,0.40085287846481876,234,1,250,500,100,cosine,0.001,0.99,dicta-il/MsBERT,tfidf,219962
0.1510321,0.14032687618826004,0.7699572014362743,0.3437100213219616,224,1,250,500,100,cosine,0.001,0.99,dicta-il/MsBERT,trigram,219962
0.14960688,0.1070818812317083,0.6745651599405477,0.2976545842217484,237,1,250,500,100,cosine,0.001,0.99,dicta-il/MsBERT,BOW-n_gram,219964
0.17326608,0.15879995260035829,0.825755773219836,0.353091684434968,242,1,250,500,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf,219962
0.17214647,0.1415441684988151,0.7760136100059098,0.32430703624733476,210,1,250,500,100,cosine,0.001,0.99,onlplab/alephbert-base,tfidf,219962
0.16906407,0.1529350259386855,0.7976797079464217,0.35842217484008526,186,1,250,500,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf,219962
0.18343776,0.18829492498492473,0.8378961729873758,0.40085287846481876,234,1,250,500,100,cosine,0.001,0.99,dicta-il/MsBERT,tfidf,219962
0.08346529,0.12185580173523533,0.7590038560891517,0.3400852878464819,0,1,30,500,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf,219962
0.37713927,0.05254108102637408,0.582546080443129,0.1788912579957356,29,1,30,500,100,cosine,0.001,0.99,dicta-il/MsBERT,tfidf,219962
0.10765517,0.14450442121794774,0.7499016767499624,0.35692963752665247,0,1,30,500,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf,219962
0.13033421,0.14846920571195346,0.8067955130955958,0.3603411513859275,29,1,30,500,100,cosine,0.001,0.99,dicta-il/MsBERT,tfidf,219962
