best_loss,epoch,ari,nmi,jaccard,dasgupta,num_adjs,epochs,hidden_dim,latent_dim,distance,learning_rate,threshold,bert_model,adj_type,num_edges
32438.19921875,485,0.32575805347526815,0.6741807005632423,0.02953567879407994,0.8737568788054283,1,500,500,100,cosine,0.001,0.99,onlplab/alephbert-base,tfidf,9313
23556.552734375,496,0.34392943156999767,0.6760656325202277,0.0033266427048810466,0.870465646743666,1,500,300,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf,9313
16380.3046875,485,0.33399685320493744,0.6719564438570622,0.0009960747370073794,0.8683368484077888,1,500,500,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf,9313
33608.10546875,487,0.3038203525537336,0.656929598831505,0.0250562017099113,0.8681984927338813,1,500,300,100,cosine,0.001,0.99,onlplab/alephbert-base,tfidf,9313
16862.82421875,496,0.33197673851133497,0.6735955975952926,0.004553461300812627,0.8681011851863474,1,500,300,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf,9313
22385.939453125,493,0.3712002443340797,0.7067419286736573,0.0008038938608886795,0.867258412346499,1,500,500,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf,9313
19758.255859375,493,0.3566547936151356,0.6857529748162237,0.04249376475772688,0.8621402590417262,1,500,500,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf,9313
21032.32421875,499,0.3112427813020224,0.6565807878419321,0.0015308525671219972,0.8609810689007589,1,500,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf,9313
29793.8125,499,0.30500258570558275,0.657037000552746,0.012514521833132156,0.8509378115177001,1,500,300,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,tfidf,9313
28603.23828125,497,0.29958211544421626,0.6591006831742564,0.009725185410951945,0.8509009017582907,1,500,500,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,tfidf,9313
16878.27734375,495,0.3466477880037144,0.6604683004369137,0.0030376087265767612,0.8412690204210131,1,500,500,100,cosine,0.001,0.99,dicta-il/dictabert,trigram,9313
9955.99609375,497,0.3071828312397724,0.6358432956947808,0.014480252045018883,0.8386593885830115,1,500,500,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,tfidf,9313
24517.9140625,496,0.30122674397353616,0.6332535058327274,0.03523212421968961,0.8379780120547624,1,500,300,100,cosine,0.001,0.99,dicta-il/BEREL,trigram,9313
24313.029296875,498,0.3282281458063336,0.6482417396303717,0.00144746354982528,0.8351088934233368,2,500,300,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf & trigram,9313
28625.15625,488,0.27454757451070166,0.621891251508558,0.0011959656560147423,0.8347995225308324,2,500,500,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,trigram & BOW-n_gram,9313
23168.650390625,496,0.33276506827793234,0.6538053133277295,0.04644428906751955,0.8339414265484414,1,500,500,100,cosine,0.001,0.99,dicta-il/BEREL,trigram,9313
16806.25390625,495,0.32367350409103984,0.641597880629023,0.0015061209171586126,0.8338580999703807,2,500,500,100,cosine,0.001,0.99,dicta-il/dictabert,trigram & BOW-n_gram,9313
10195.3505859375,489,0.27437080433260497,0.5999894345521765,0.03776313437245694,0.8336924534440615,2,500,500,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,trigram & BOW-n_gram,9313
21944.353515625,498,0.2859363994381873,0.6083190478388507,0.0007672379434037465,0.8334260320897791,1,500,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,trigram,9313
21647.556640625,498,0.29121764361209057,0.620408349851228,0.01275894636109778,0.8326794483199067,2,500,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf & trigram,9313
10231.58984375,499,0.29399038800337685,0.6249728133051217,0.009642419535651738,0.8321660671208483,1,500,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,tfidf,9313
10579.095703125,496,0.27908955956819576,0.596898706480697,0.03741515824417379,0.831778179103782,1,500,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,trigram,9313
23031.3046875,496,0.33539094352502374,0.6618576020504063,0.008091126613123147,0.8302649908157517,2,500,500,100,cosine,0.001,0.99,dicta-il/BEREL,trigram & BOW-n_gram,9313
17243.66015625,496,0.3066109830560968,0.6307668275913791,0.002960769800148038,0.8293100346768498,2,500,300,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf & trigram,9313
21809.435546875,498,0.2991456143220825,0.623351598605811,0.013046902413355318,0.829248742106679,2,500,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,trigram & BOW-n_gram,9313
33734.10546875,496,0.26599437517056307,0.6213124941231165,0.029667911477513232,0.8291987461598427,2,500,300,100,cosine,0.001,0.99,onlplab/alephbert-base,tfidf & trigram,9313
24358.09375,498,0.3431762084309673,0.6534336803444267,0.002389486032450308,0.828387961778149,2,500,300,100,cosine,0.001,0.99,dicta-il/BEREL,trigram & BOW-n_gram,9313
20355.927734375,493,0.2630430086587792,0.6064931701499687,0.0032146731695525893,0.8281695231110987,2,500,500,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,trigram & BOW-n_gram,9313
10549.2177734375,496,0.25210964526080243,0.5828022248171509,0.008775122353812297,0.8279694274759973,2,500,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,tfidf & trigram,9313
33854.32421875,496,0.2884834829164581,0.627376958131924,0.02163414690115637,0.8268083359231817,1,500,300,100,cosine,0.001,0.99,onlplab/alephbert-base,trigram,9313
16708.689453125,495,0.29687333483867634,0.6372005160078229,0.017947715973370137,0.826717180002216,2,500,500,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf & trigram,9313
17333.951171875,496,0.29124295589981386,0.6264651907584602,0.005530202052085142,0.8261813174042447,2,500,300,100,cosine,0.001,0.99,dicta-il/dictabert,trigram & BOW-n_gram,9313
