edge_name,weight
רֶפֵס (-) ְךֶרֶס,1
רֶפֵס (-) דַחַי,1
דָי (-) הֶשֹמ,5
הֶשֲעַמ (-) בֹוט,1
תּוריִרְש (-) בֵל,3
תּוריִרְש (-) הָמְשַא,1
ןִיַע (-) תּונְז,1
קֹח (-) לֵא,3
תיִרְּב (-) דֶסֶח,2
הָצֵע (-) לֵא,2
דֵעֹומ (-) הָדּועְּת,2
ןֵּב (-) רֹוא,5
ןֵּב (-) ְךֶשֹח,1
הָמָקְנ (-) לֵא,1
םֹּת (-) ְךֶרֶּד,7
הָצֵע (-) קֶדֶצ,1
רָבָּד (-) לֵא,1
קֹח (-) תֶמֱא,1
ְךֶרֶס (-) דַחַי,1
ףֵרְצַמ (-) יּוּסִנ,1
הָלָשְמֶמ (-) לָעָיִלְּב,2
לֵא (-) הָעּושְי,1
הֶשֲעַמ (-) תֶמֱא,2
הָקָדְצ (-) לֵא,4
הֶשֲעַמ (-) הָרּובְּג,1
דֶסֶח (-) םיִמֲחַר,1
ןֹוָע (-) ןֵּב,1
ןֹוָע (-) לֵאָרְשִי,1
עָשֶּפ (-) הָמְשַא,1
עָשֶּפ (-) תאַּטַח,1
םיִמֲחַר (-) דֶסֶח,1
שיִא (-) לָרֹוּג,1
לֶכֶש (-) םיִּיַח,1
תַעַּד (-) םָלֹוע,1
הֶנָּפ (-) דֶסֶח,1
םֹולָש (-) םָלֹוע,3
שיִא (-) לָׁרֹוּג,1
שיִא (-) לָעָיִלְּב,1
הֶשֲעַמ (-) עַשֶר,1
םֵקֹנ (-) םָקָנ,1
םֵּלַשְמ (-) לּומְּג,1
הָלֵפֲא (-) שֵא,1
הָלֵפֲא (-) םָלֹוע,1
הֶנָּפ (-) ףַא,1
הֶּפ (-) זֶחֹא,1
הֶּפ (-) בָא,1
לּוּלִּג (-) בֵל,1
לֹושְכִמ (-) ןֶוָע,1
רָבָּד (-) תיִרְּב,1
ףַא (-) לֵא,2
הָאְנִק (-) טָּפְשִמ,3
הָלָּכ (-) םָלֹוע,2
